TotalWhite,TotalBlack,TotalNative,TotalAsian,TotalPI,TotalLatino,GEO_ID,NAME
43617,11094,462,936,98,1565,0500000US01001,"Autauga County, Alabama"
186940,20563,3441,2880,102,9711,0500000US01003,"Baldwin County, Alabama"
12075,12265,287,168,29,1105,0500000US01005,"Barbour County, Alabama"
17405,5102,77,41,0,579,0500000US01007,"Bibb County, Alabama"
55969,1122,708,272,55,5342,0500000US01009,"Blount County, Alabama"
2244,7744,0,128,0,262,0500000US01011,"Bullock County, Alabama"
10690,9204,140,86,0,277,0500000US01013,"Butler County, Alabama"
86870,25233,1429,1609,156,4352,0500000US01015,"Calhoun County, Alabama"
19765,13540,179,427,0,800,0500000US01017,"Chambers County, Alabama"
24248,1309,384,67,29,413,0500000US01019,"Cherokee County, Alabama"
37765,4760,816,250,27,3457,0500000US01021,"Chilton County, Alabama"
7366,5531,39,28,0,53,0500000US01023,"Choctaw County, Alabama"
12954,11153,71,123,0,79,0500000US01025,"Clarke County, Alabama"
11183,2160,49,21,0,419,0500000US01027,"Clay County, Alabama"
14276,601,98,26,0,367,0500000US01029,"Cleburne County, Alabama"
40603,9584,1392,1121,54,3763,0500000US01031,"Coffee County, Alabama"
44359,9297,728,491,68,1557,0500000US01033,"Colbert County, Alabama"
6392,5923,40,142,0,84,0500000US01035,"Conecuh County, Alabama"
7078,3615,9,0,0,109,0500000US01037,"Coosa County, Alabama"
31858,5238,159,261,34,629,0500000US01039,"Covington County, Alabama"
10275,3603,183,194,9,110,0500000US01041,"Crenshaw County, Alabama"
80381,1437,1103,663,56,3611,0500000US01043,"Cullman County, Alabama"
36952,10858,946,1177,56,3210,0500000US01045,"Dale County, Alabama"
11065,27811,183,244,43,419,0500000US01047,"Dallas County, Alabama"
62647,1467,1842,322,561,10376,0500000US01049,"DeKalb County, Alabama"
62377,17870,722,858,76,2404,0500000US01051,"Elmore County, Alabama"
23397,12083,1701,105,57,865,0500000US01053,"Escambia County, Alabama"
83816,17269,1309,977,37,3982,0500000US01055,"Etowah County, Alabama"
14419,2225,134,102,7,297,0500000US01057,"Fayette County, Alabama"
26517,1489,686,189,0,5400,0500000US01059,"Franklin County, Alabama"
23292,2728,421,138,12,1051,0500000US01061,"Geneva County, Alabama"
1628,6805,191,35,0,145,0500000US01063,"Greene County, Alabama"
5918,8860,30,33,0,4,0500000US01065,"Hale County, Alabama"
12319,4608,137,93,33,449,0500000US01067,"Henry County, Alabama"
74414,29257,1147,1383,126,3479,0500000US01069,"Houston County, Alabama"
48858,2065,1663,323,80,1519,0500000US01071,"Jackson County, Alabama"
350653,288709,4767,13674,544,25557,0500000US01073,"Jefferson County, Alabama"
12265,1504,85,21,0,229,0500000US01075,"Lamar County, Alabama"
81717,10113,834,812,74,2476,0500000US01077,"Lauderdale County, Alabama"
27273,3832,3264,132,27,724,0500000US01079,"Lawrence County, Alabama"
116097,38497,1230,7636,139,5925,0500000US01081,"Lee County, Alabama"
77626,13622,1358,1756,194,5700,0500000US01083,"Limestone County, Alabama"
2532,7549,45,0,0,50,0500000US01085,"Lowndes County, Alabama"
3088,15611,56,32,0,152,0500000US01087,"Macon County, Alabama"
255475,93472,6097,12824,1000,17928,0500000US01089,"Madison County, Alabama"
8921,10405,50,0,1,196,0500000US01091,"Marengo County, Alabama"
28221,1401,324,121,0,777,0500000US01093,"Marion County, Alabama"
90643,2965,1375,742,73,13357,0500000US01095,"Marshall County, Alabama"
249532,151547,6027,9688,275,12018,0500000US01097,"Mobile County, Alabama"
11786,9203,477,58,6,81,0500000US01099,"Monroe County, Alabama"
84638,133771,1493,7769,225,7978,0500000US01101,"Montgomery County, Alabama"
97907,16128,2089,1058,94,9962,0500000US01103,"Morgan County, Alabama"
2737,6491,3,8,0,110,0500000US01105,"Perry County, Alabama"
11769,8338,89,33,12,985,0500000US01107,"Pickens County, Alabama"
20072,12834,403,787,35,750,0500000US01109,"Pike County, Alabama"
17857,4918,91,95,0,668,0500000US01111,"Randolph County, Alabama"
30012,26683,867,1025,184,3182,0500000US01113,"Russell County, Alabama"
77765,8736,747,959,26,2133,0500000US01115,"St. Clair County, Alabama"
174951,28142,1590,5483,181,12208,0500000US01117,"Shelby County, Alabama"
3255,9222,22,274,0,68,0500000US01119,"Sumter County, Alabama"
52692,27016,686,657,124,1842,0500000US01121,"Talladega County, Alabama"
28876,11279,344,268,10,981,0500000US01123,"Tallapoosa County, Alabama"
134990,67190,1340,3872,180,7702,0500000US01125,"Tuscaloosa County, Alabama"
59176,4466,713,397,22,1595,0500000US01127,"Walker County, Alabama"
11369,4116,1370,68,0,241,0500000US01129,"Washington County, Alabama"
3249,7441,44,281,0,57,0500000US01131,"Wilcox County, Alabama"
23290,302,382,47,12,750,0500000US01133,"Winston County, Alabama"
779,169,1856,714,37,305,0500000US02013,"Aleutians East Borough, Alaska"
1903,264,806,2565,236,801,0500000US02016,"Aleutians West Census Area, Alaska"
208466,22997,38225,36335,9761,26927,0500000US02020,"Anchorage Municipality, Alaska"
2518,246,15610,252,93,471,0500000US02050,"Bethel Census Area, Alaska"
538,9,390,9,7,32,0500000US02060,"Bristol Bay Borough, Alaska"
2055,52,164,156,48,7,0500000US02068,"Denali Borough, Alaska"
1156,113,3889,111,21,184,0500000US02070,"Dillingham Census Area, Alaska"
81584,6522,11635,5060,975,7972,0500000US02090,"Fairbanks North Star Borough, Alaska"
2246,66,369,83,4,113,0500000US02100,"Haines Borough, Alaska"
1195,89,1016,51,10,146,0500000US02105,"Hoonah-Angoon Census Area, Alaska"
25099,709,5930,3226,627,2186,0500000US02110,"Juneau City and Borough, Alaska"
51347,652,7006,1544,476,2428,0500000US02122,"Kenai Peninsula Borough, Alaska"
10291,235,2895,1428,149,727,0500000US02130,"Ketchikan Gateway Borough, Alaska"
8301,77,2401,3340,149,1198,0500000US02150,"Kodiak Island Borough, Alaska"
495,66,7853,22,27,93,0500000US02158,"Kusilvak Census Area, Alaska"
364,16,1041,38,15,2,0500000US02164,"Lake and Peninsula Borough, Alaska"
94959,2470,11909,3081,889,5198,0500000US02170,"Matanuska-Susitna Borough, Alaska"
2064,141,8110,256,40,274,0500000US02180,"Nome Census Area, Alaska"
3602,362,5668,645,350,199,0500000US02185,"North Slope Borough, Alaska"
1147,145,6569,135,46,112,0500000US02188,"Northwest Arctic Borough, Alaska"
2745,54,465,241,87,381,0500000US02195,"Petersburg Borough, Alaska"
3676,72,3107,153,56,247,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska"
6700,128,2066,810,38,584,0500000US02220,"Sitka City and Borough, Alaska"
981,44,91,23,0,63,0500000US02230,"Skagway Municipality, Alaska"
5526,113,1158,202,11,417,0500000US02240,"Southeast Fairbanks Census Area, Alaska"
7092,68,1741,521,269,484,0500000US02261,"Valdez-Cordova Census Area, Alaska"
1819,4,853,37,12,126,0500000US02275,"Wrangell City and Borough, Alaska"
344,8,295,43,13,50,0500000US02282,"Yakutat City and Borough, Alaska"
1573,44,4078,47,4,143,0500000US02290,"Yukon-Koyukuk Census Area, Alaska"
17249,794,53588,480,119,4531,0500000US04001,"Apache County, Arizona"
112309,7108,3141,4047,924,44626,0500000US04003,"Cochise County, Arizona"
95064,2973,40009,4082,538,19931,0500000US04005,"Coconino County, Arizona"
42714,512,9980,649,93,10038,0500000US04007,"Gila County, Arizona"
31346,843,5639,319,78,12543,0500000US04009,"Graham County, Arizona"
8766,223,369,57,29,4456,0500000US04011,"Greenlee County, Arizona"
16558,369,3462,182,38,5735,0500000US04012,"La Paz County, Arizona"
3496900,302042,124128,233328,21016,1341560,0500000US04013,"Maricopa County, Arizona"
192170,3406,6945,3609,911,34160,0500000US04015,"Mohave County, Arizona"
54288,1697,50946,1031,286,12479,0500000US04017,"Navajo County, Arizona"
823616,50456,60052,43491,3587,382585,0500000US04019,"Pima County, Arizona"
361075,25312,28316,11276,3309,130511,0500000US04021,"Pinal County, Arizona"
40383,424,583,514,0,38793,0500000US04023,"Santa Cruz County, Arizona"
213934,2675,6713,3614,708,33166,0500000US04025,"Yavapai County, Arizona"
164683,6432,5280,4048,703,133549,0500000US04027,"Yuma County, Arizona"
13067,4840,109,14,0,572,0500000US05001,"Arkansas County, Arkansas"
14817,5219,103,41,0,1101,0500000US05003,"Ashley County, Arkansas"
40748,218,683,214,29,987,0500000US05005,"Baxter County, Arkansas"
240374,6298,7795,12000,1847,44161,0500000US05007,"Benton County, Arkansas"
36806,269,800,446,32,931,0500000US05009,"Boone County, Arkansas"
7178,3144,125,7,0,1673,0500000US05011,"Bradley County, Arkansas"
4032,1174,36,0,16,207,0500000US05013,"Calhoun County, Arkansas"
26309,407,673,406,268,4183,0500000US05015,"Carroll County, Arkansas"
4745,5757,59,74,16,584,0500000US05017,"Chicot County, Arkansas"
16006,5564,203,183,7,1059,0500000US05019,"Clark County, Arkansas"
14503,186,199,17,11,307,0500000US05021,"Clay County, Arkansas"
24500,195,392,175,23,609,0500000US05023,"Cleburne County, Arkansas"
7074,1067,27,62,7,101,0500000US05025,"Cleveland County, Arkansas"
14581,8807,68,262,0,645,0500000US05027,"Columbia County, Arkansas"
18528,2597,374,181,45,818,0500000US05029,"Conway County, Arkansas"
87325,17511,1280,1697,12,5421,0500000US05031,"Craighead County, Arkansas"
57195,1442,2794,1268,115,4852,0500000US05033,"Crawford County, Arkansas"
23838,25074,2853,415,35,1246,0500000US05035,"Crittenden County, Arkansas"
13528,3397,1155,5,22,167,0500000US05037,"Cross County, Arkansas"
3966,3220,61,36,36,98,0500000US05039,"Dallas County, Arkansas"
5898,5571,94,129,0,718,0500000US05041,"Desha County, Arkansas"
12859,5343,96,142,43,632,0500000US05043,"Drew County, Arkansas"
104562,15737,1663,2097,223,5060,0500000US05045,"Faulkner County, Arkansas"
17020,246,484,206,38,536,0500000US05047,"Franklin County, Arkansas"
12048,137,231,34,9,196,0500000US05049,"Fulton County, Arkansas"
87313,9585,1525,971,192,5553,0500000US05051,"Garland County, Arkansas"
17545,502,212,124,43,498,0500000US05053,"Grant County, Arkansas"
43347,1171,476,215,22,1281,0500000US05055,"Greene County, Arkansas"
12887,6717,308,152,163,2800,0500000US05057,"Hempstead County, Arkansas"
28957,4030,510,211,8,1176,0500000US05059,"Hot Spring County, Arkansas"
9223,2891,231,36,12,1669,0500000US05061,"Howard County, Arkansas"
35085,1118,421,408,8,2363,0500000US05063,"Independence County, Arkansas"
13103,255,460,1,42,314,0500000US05065,"Izard County, Arkansas"
14777,2504,1277,38,10,492,0500000US05067,"Jackson County, Arkansas"
28215,39675,511,699,89,1455,0500000US05069,"Jefferson County, Arkansas"
24722,562,516,621,41,3671,0500000US05071,"Johnson County, Arkansas"
4183,2512,78,27,0,182,0500000US05073,"Lafayette County, Arkansas"
16275,243,249,61,2,256,0500000US05075,"Lawrence County, Arkansas"
4000,5152,74,15,0,230,0500000US05077,"Lee County, Arkansas"
8984,4135,148,21,7,529,0500000US05079,"Lincoln County, Arkansas"
9401,2793,330,78,0,189,0500000US05081,"Little River County, Arkansas"
20453,499,443,538,15,645,0500000US05083,"Logan County, Arkansas"
65991,4808,981,1197,310,3241,0500000US05085,"Lonoke County, Arkansas"
15491,163,414,215,95,928,0500000US05087,"Madison County, Arkansas"
16079,117,245,276,0,379,0500000US05089,"Marion County, Arkansas"
31140,11320,853,291,84,1450,0500000US05091,"Miller County, Arkansas"
26683,14644,1014,258,35,1740,0500000US05093,"Mississippi County, Arkansas"
3934,3122,66,35,0,45,0500000US05095,"Monroe County, Arkansas"
8467,56,341,40,0,388,0500000US05097,"Montgomery County, Arkansas"
5449,3054,39,9,2,2,0500000US05099,"Nevada County, Arkansas"
7503,2,331,51,60,33,0500000US05101,"Newton County, Arkansas"
13848,9967,211,27,0,558,0500000US05103,"Ouachita County, Arkansas"
10081,82,94,13,0,303,0500000US05105,"Perry County, Arkansas"
6766,11831,37,2,0,350,0500000US05107,"Phillips County, Arkansas"
9921,530,84,61,0,700,0500000US05109,"Pike County, Arkansas"
22510,1354,1267,29,0,727,0500000US05111,"Poinsett County, Arkansas"
19097,166,888,57,30,1324,0500000US05113,"Polk County, Arkansas"
59731,2536,1065,993,37,5751,0500000US05115,"Pope County, Arkansas"
7065,1032,44,20,0,142,0500000US05117,"Prairie County, Arkansas"
228540,150567,4188,11288,561,24171,0500000US05119,"Pulaski County, Arkansas"
17104,254,315,96,129,367,0500000US05121,"Randolph County, Arkansas"
10979,14166,135,194,37,1343,0500000US05123,"St. Francis County, Arkansas"
107777,9552,1438,2012,235,5688,0500000US05125,"Saline County, Arkansas"
9752,50,661,75,34,799,0500000US05127,"Scott County, Arkansas"
7548,70,294,69,0,191,0500000US05129,"Searcy County, Arkansas"
99393,10242,4658,6524,76,18144,0500000US05131,"Sebastian County, Arkansas"
11008,858,588,139,81,5711,0500000US05133,"Sevier County, Arkansas"
16844,262,403,122,2,391,0500000US05135,"Sharp County, Arkansas"
12336,129,238,63,0,243,0500000US05137,"Stone County, Arkansas"
25642,13184,434,302,10,1577,0500000US05139,"Union County, Arkansas"
16183,188,375,37,21,520,0500000US05141,"Van Buren County, Arkansas"
186362,10304,6038,7886,6083,38979,0500000US05143,"Washington County, Arkansas"
73496,4428,966,794,31,3422,0500000US05145,"White County, Arkansas"
4622,1863,41,75,13,30,0500000US05147,"Woodruff County, Arkansas"
17108,527,248,318,11,4326,0500000US05149,"Yell County, Arkansas"
754633,206411,26725,559032,26183,371019,0500000US06001,"Alameda County, California"
650,9,406,16,6,130,0500000US06003,"Alpine County, California"
34987,1150,1494,948,144,5340,0500000US06005,"Amador County, California"
196880,6513,8616,13978,1736,36916,0500000US06007,"Butte County, California"
43492,619,1827,1164,165,5489,0500000US06009,"Calaveras County, California"
19515,485,531,458,77,12738,0500000US06011,"Colusa County, California"
702278,122215,20479,230608,12755,292298,0500000US06013,"Contra Costa County, California"
22207,1274,2835,1160,143,5429,0500000US06015,"Del Norte County, California"
172049,2627,4464,11293,1080,24199,0500000US06017,"El Dorado County, California"
674052,57894,24380,115485,4122,522364,0500000US06019,"Fresno County, California"
23295,339,1073,932,25,11680,0500000US06021,"Glenn County, California"
116614,3629,11948,5919,1081,15722,0500000US06023,"Humboldt County, California"
123341,6168,3696,3831,489,152172,0500000US06025,"Imperial County, California"
14951,258,2527,407,66,4020,0500000US06027,"Inyo County, California"
686129,57180,17969,51708,3954,473374,0500000US06029,"Kern County, California"
107328,12048,3855,7743,858,82116,0500000US06031,"Kings County, California"
51492,1916,3583,1262,95,13224,0500000US06033,"Lake County, California"
25936,2780,1294,603,371,5844,0500000US06035,"Lassen County, California"
5482585,931544,162763,1647167,56950,4888434,0500000US06037,"Los Angeles County, California"
112005,6270,4600,4233,537,89798,0500000US06039,"Madera County, California"
214243,8592,3456,21978,1318,41527,0500000US06041,"Marin County, California"
16118,297,831,400,86,1963,0500000US06043,"Mariposa County, California"
76765,1351,6616,2557,472,21898,0500000US06045,"Mendocino County, California"
157950,11919,5329,23726,1399,161814,0500000US06047,"Merced County, California"
8177,176,431,173,29,1291,0500000US06049,"Modoc County, California"
12392,117,675,626,63,3865,0500000US06051,"Mono County, California"
246039,15884,7051,33828,4516,254294,0500000US06053,"Monterey County, California"
107100,3800,2796,13575,873,47544,0500000US06055,"Napa County, California"
95406,1208,2652,2290,412,9373,0500000US06057,"Nevada County, California"
2044179,77394,35488,722688,22445,1078726,0500000US06059,"Orange County, California"
334093,10193,7046,38119,2905,53969,0500000US06061,"Placer County, California"
17567,194,819,362,202,1670,0500000US06063,"Plumas County, California"
1532661,187779,43092,195307,16720,1179478,0500000US06065,"Riverside County, California"
965877,191752,34626,290467,28428,353318,0500000US06067,"Sacramento County, California"
52054,937,1668,2731,381,36081,0500000US06069,"San Benito County, California"
1401581,216940,44101,186260,14196,1145874,0500000US06071,"San Bernardino County, California"
2494765,212379,51904,483346,33638,1117517,0500000US06073,"San Diego County, California"
446823,56089,9955,331198,6984,133314,0500000US06075,"San Francisco County, California"
