County, FIPS,RateAll,Count,RateWhite,RateWHis,RateWNonHis,RateBlack,RateAIAN,RateAPI,RateHispanic
"Abbeville County, South Carolina",45001,18.5,3,* ,* ,* ,* ,* ,* ,* 
"Acadia Parish, Louisiana",22001,24,9,22.6,* ,22.9,* ,* ,* ,* 
"Accomack County, Virginia",51001,24.9,6,26.9,* ,24.7,* ,* ,* ,* 
"Ada County, Idaho",16001,21.4,54,21.5,* ,22,* ,* ,* ,* 
"Adair County, Iowa",19001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adair County, Kentucky",21001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adair County, Missouri",29001,26.2,4,26.7,* ,27,* ,* ,* ,* 
"Adair County, Oklahoma",40001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adams County, Colorado",8001,18.1,41,18.8,17.9,19.4,* ,* ,* ,17
"Adams County, Idaho",16003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adams County, Illinois",17001,23.5,11,23.3,* ,23.3,* ,* ,* ,* 
"Adams County, Indiana",18001,21.8,4,20.6,* ,21.3,* ,* ,* ,* 
"Adams County, Iowa",19003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adams County, Mississippi",28001,39.5,9,* ,* ,* ,58.5,* ,* ,* 
"Adams County, Nebraska",31001,25.7,6,25.4,* ,26.6,* ,* ,* ,* 
"Adams County, North Dakota",38001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adams County, Ohio",39001,23.4,5,23.7,* ,23.8,* ,* ,* ,* 
"Adams County, Pennsylvania",42001,17,13,17.1,* ,17.5,* ,* ,* ,* 
"Adams County, Washington",53001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Adams County, Wisconsin",55001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Addison County, Vermont",50001,10.9,3,11,* ,11.1,* ,* ,* ,* 
"Aiken County, South Carolina",45003,25.7,30,23.2,* ,23.9,35.3,* ,* ,* 
"Aitkin County, Minnesota",27001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alachua County, Florida",12001,19,28,17.5,* ,16.6,26.8,* ,* ,* 
"Alamance County, North Carolina",37001,20.4,23,19.6,* ,19.9,25.7,* ,* ,* 
"Alameda County, California",6001,17.3,170,18.5,12.2,20,28.8,* ,10.9,11.7
"Alamosa County, Colorado",8003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Albany County, New York",36001,20.7,44,20.2,* ,20.1,27.5,* ,* ,* 
"Albany County, Wyoming",56001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Albemarle County, Virginia",51003,14.4,12,15.1,* ,15.1,* ,* ,* ,* 
"Alcona County, Michigan",26001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alcorn County, Mississippi",28003,14.9,4,16.5,* ,16.6,* ,* ,* ,* 
"Aleutians East Borough, Alaska",2013,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Aleutians West Census Area, Alaska",2016,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alexander County, Illinois",17003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alexander County, North Carolina",37003,20.5,6,18,* ,17.4,* ,* ,* ,* 
"Alexandria City, Virginia",51510,20.5,17,20.9,* ,19.9,20.2,* ,* ,* 
"Alfalfa County, Oklahoma",40003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alger County, Michigan",26003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Allamakee County, Iowa",19005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Allegan County, Michigan",26005,17.3,12,17.2,* ,17.1,* ,* ,* ,* 
"Allegany County, Maryland",24001,17.3,10,17.4,* ,17.5,* ,* ,* ,* 
"Allegany County, New York",36003,16.8,5,17,* ,17.1,* ,* ,* ,* 
"Alleghany County and Clifton Forge City, Virginia",51005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alleghany County, North Carolina",37005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Allegheny County, Pennsylvania",42003,21.5,204,20.4,* ,20.4,32.1,* ,* ,* 
"Allen County, Indiana",18003,23.4,52,23,* ,23.7,31.6,* ,* ,* 
"Allen County, Kansas",20001,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Allen County, Kentucky",21003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Allen County, Ohio",39003,23.6,16,22.2,* ,22.5,* ,* ,* ,* 
"Allen Parish, Louisiana",22003,20.3,3,* ,* ,* ,* ,* ,* ,* 
"Allendale County, South Carolina",45005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Alpena County, Michigan",26007,20.8,6,21,* ,21.1,* ,* ,* ,* 
"Alpine County, California",6003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Amador County, California",6005,17.8,6,18.6,* ,19,* ,* ,* ,* 
"Amelia County, Virginia",51007,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Amherst County, Virginia",51009,12.3,3,* ,* ,* ,* ,* ,* ,* 
"Amite County, Mississippi",28005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Anchorage Borough, Alaska",2020,19,26,17.2,* ,17.2,* ,36.8,* ,* 
"Anderson County, Kansas",20003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Anderson County, Kentucky",21005,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Anderson County, South Carolina",45007,19.2,27,18.5,* ,18.3,23,* ,* ,* 
"Anderson County, Tennessee",47001,25.2,16,24.3,* ,24.6,* ,* ,* ,* 
"Anderson County, Texas",48001,17.3,6,13.5,* ,14.3,* ,* ,* ,* 
"Andrew County, Missouri",29003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Andrews County, Texas",48003,* ,3 or fewer,* ,* ,* ,* ,* ,* ,* 
"Androscoggin County, Maine",23001,16.4,13,16,* ,16.1,* ,* ,* ,* 
"Angelina County, Texas",48005,13.5,8,14.1,* ,15.6,* ,* ,* ,* 
"Anne Arundel County, Maryland",24003,19.6,70,18.3,* ,18.4,30.2,* ,* ,* 
"Anoka County, Minnesota",27003,18.6,36,18.7,* ,19,* ,* ,* ,* 
"Anson County, North Carolina",37007,26,5,* ,* ,* ,* ,* ,* ,* 
