GeoID,Tract,TotalPop,MalePopulation,FemalePop,Age65andOver,WhiteOnly,BlackOnly,AIANOnly,AsianOnly,AsianIndian,AsianChinese,AsianFilipino,AsianJapanese,AsianKorean,AsianVietnamese,NHPIOnly,OtherRaceOnly,TwoOrMoreRaces,HispanicPop,EligibleVote,PercentofEligible2019
53033000100,"Census Tract 1, King County, Washington",8202,4280,3922,1264,4537,1396,39,1202,93,354,262,98,60,39,0,272,756,872,5775,0.8
53033000200,"Census Tract 2, King County, Washington",8779,4680,4099,1285,6000,613,36,1168,80,474,207,121,156,32,0,387,575,953,6335,0.79
53033000300,"Census Tract 3, King County, Washington",2953,1498,1455,301,2042,140,0,484,20,166,87,24,0,128,0,27,260,143,2280,0.8
53033000401,"Census Tract 4.01, King County, Washington",7145,2912,4233,1598,4487,1201,0,970,17,375,169,5,79,40,0,68,419,373,5655,0.79
53033000402,"Census Tract 4.02, King County, Washington",5190,2563,2627,1193,4280,71,0,465,13,84,174,65,34,36,23,17,334,145,4106,0.75
53033000500,"Census Tract 5, King County, Washington",3143,1582,1561,779,2709,24,0,278,10,134,90,12,8,24,0,0,132,73,2447,0.91
53033000600,"Census Tract 6, King County, Washington",8203,3924,4279,1238,5076,812,70,1094,116,594,130,47,52,31,0,668,483,866,6166,0.75
53033000700,"Census Tract 7, King County, Washington",5452,2793,2659,485,3430,636,63,997,17,520,198,31,48,165,0,156,170,692,3840,0.76
53033000800,"Census Tract 8, King County, Washington",2839,1409,1430,474,2137,98,0,412,0,85,64,22,79,147,8,0,184,22,2172,0.87
53033000900,"Census Tract 9, King County, Washington",2161,981,1180,497,1611,113,5,323,66,171,0,15,0,23,9,28,72,84,1708,0.9
53033001000,"Census Tract 10, King County, Washington",2036,959,1077,252,1456,163,4,219,28,129,27,5,0,12,0,9,185,29,1484,0.81
53033001100,"Census Tract 11, King County, Washington",2580,1290,1290,443,1979,7,8,367,0,122,138,8,82,9,18,72,129,141,1918,0.83
53033001200,"Census Tract 12, King County, Washington",6984,3263,3721,1257,4530,696,29,1094,90,257,76,57,95,169,0,127,508,532,5016,0.71
53033001300,"Census Tract 13, King County, Washington",4698,2036,2662,627,2817,289,124,894,71,326,44,134,104,70,0,294,280,725,3463,0.75
53033001400,"Census Tract 14, King County, Washington",5664,2628,3036,722,4455,52,71,416,0,171,49,13,54,20,13,108,549,152,4477,0.87
53033001500,"Census Tract 15, King County, Washington",2733,1375,1358,453,2271,56,7,213,15,66,7,60,19,15,0,0,186,19,2047,0.91
53033001600,"Census Tract 16, King County, Washington",4769,2294,2475,755,3857,29,16,582,209,124,41,128,24,0,0,37,248,187,3526,0.91
53033001701,"Census Tract 17.01, King County, Washington",4218,2044,2174,342,3054,341,9,361,170,57,63,18,35,0,24,30,399,337,3464,0.84
53033001702,"Census Tract 17.02, King County, Washington",5111,2880,2231,686,3800,251,61,516,33,150,184,56,0,53,0,177,306,488,4037,0.9
53033001800,"Census Tract 18, King County, Washington",4980,2626,2354,257,3880,37,0,643,148,274,62,0,102,48,31,66,323,291,3653,0.76
53033001900,"Census Tract 19, King County, Washington",5079,2526,2553,615,3737,166,15,822,47,391,167,0,52,16,0,35,304,195,3774,0.86
53033002000,"Census Tract 20, King County, Washington",3854,1840,2014,487,3129,54,9,431,29,134,84,44,18,41,0,31,200,134,3130,0.87
53033002100,"Census Tract 21, King County, Washington",4453,2268,2185,550,3600,73,6,593,60,288,67,39,28,99,0,45,136,216,3377,0.87
53033002200,"Census Tract 22, King County, Washington",5891,2895,2996,1232,4509,0,19,854,99,442,43,115,58,70,10,14,485,269,4350,0.91
53033002400,"Census Tract 24, King County, Washington",3391,1661,1730,444,2709,12,0,488,33,339,65,17,21,0,10,41,131,126,2484,0.89
53033002500,"Census Tract 25, King County, Washington",3451,1675,1776,534,2768,40,10,345,12,199,12,76,35,0,0,0,288,120,2557,0.91
53033002600,"Census Tract 26, King County, Washington",5377,2967,2410,454,4236,38,0,516,104,156,50,21,34,0,0,161,426,324,3955,0.91
53033002700,"Census Tract 27, King County, Washington",6393,3243,3150,783,4879,74,0,777,61,205,36,118,13,43,0,219,444,291,4987,0.88
53033002800,"Census Tract 28, King County, Washington",5144,2679,2465,450,4011,182,0,379,78,50,49,31,127,14,0,33,539,171,4040,0.88
53033002900,"Census Tract 29, King County, Washington",4856,2319,2537,462,4174,1,1,298,17,154,46,16,36,13,13,82,287,225,3655,0.91
53033003000,"Census Tract 30, King County, Washington",6328,3097,3231,577,5325,2,0,382,70,113,67,20,79,15,17,216,386,374,4519,0.91
53033003100,"Census Tract 31, King County, Washington",6551,3306,3245,896,5945,0,97,287,32,138,40,48,0,29,0,0,222,449,4863,0.9
53033003200,"Census Tract 32, King County, Washington",9140,4477,4663,1508,7951,54,25,423,73,73,56,20,99,34,0,137,550,541,7657,0.91
53033003300,"Census Tract 33, King County, Washington",8205,4138,4067,464,6655,132,56,622,104,111,182,96,73,40,0,92,648,553,6113,0.91
53033003400,"Census Tract 34, King County, Washington",3604,1713,1891,360,3134,54,0,223,1,117,37,0,35,9,0,24,169,134,2899,0.89
53033003500,"Census Tract 35, King County, Washington",4269,2064,2205,713,3625,36,2,339,39,77,68,18,26,7,14,8,245,201,3377,0.85
53033003600,"Census Tract 36, King County, Washington",7594,3734,3860,1180,5849,109,0,992,269,252,36,65,77,174,0,183,461,271,6220,0.91
53033003800,"Census Tract 38, King County, Washington",2471,1200,1271,279,1826,43,1,376,60,175,15,32,40,9,0,42,183,76,1810,0.91
53033003900,"Census Tract 39, King County, Washington",3097,1496,1601,438,2467,21,45,363,29,175,35,46,16,0,0,20,181,85,2140,0.88
